,ENSG_ID,ENSG_start_bp,ENSG_end_bp,ENSG_chromosome,ENSG_type,HGNC_symbol,ENSMUSG_ID,ENSMUSG_start_bp,ENSMUSG_end_bp,ENSMUSG_chromosome,ENSMUSG_type,MGI_symbol
5148,ENSG00000160345,135495181,135501734,9,protein_coding,C9orf116,ENSMUSG00000026831,28352013,28356344,2,protein_coding,1700007K13Rik
1033,ENSG00000235034,50649445,50659310,19,protein_coding,C19orf81,ENSMUSG00000008028,44009467,44035244,7,protein_coding,1700008O03Rik
3707,ENSG00000112539,165279664,165309605,6,protein_coding,C6orf118,ENSMUSG00000023873,9207165,9230781,17,protein_coding,1700010I14Rik
7561,ENSG00000237136,145680146,145771032,4,protein_coding,C4orf51,ENSMUSG00000031682,79937060,79975199,8,protein_coding,1700011L22Rik
7699,ENSG00000257057,94512461,94532123,11,protein_coding,C11orf97,ENSMUSG00000031927,14667883,14682326,9,protein_coding,1700012B09Rik
6051,ENSG00000157330,12746200,12763699,1,protein_coding,C1orf158,ENSMUSG00000028589,144144759,144165342,4,protein_coding,1700012P22Rik
5681,ENSG00000179902,109105951,109113857,1,protein_coding,C1orf194,ENSMUSG00000027886,108441466,108452039,3,protein_coding,1700013F07Rik
1499,ENSG00000173728,244352635,244389663,1,protein_coding,C1orf100,ENSMUSG00000015962,177557380,177580890,1,protein_coding,1700016C15Rik
6472,ENSG00000163633,86876205,86892422,4,protein_coding,C4orf36,ENSMUSG00000029320,103795905,103803876,5,protein_coding,1700016H13Rik
13176,ENSG00000187624,410325,431062,17,protein_coding,C17orf97,ENSMUSG00000053783,75890738,75894395,11,protein_coding,1700016K19Rik
7902,ENSG00000167173,75195643,75212169,15,protein_coding,C15orf39,ENSMUSG00000032300,57160400,57169895,9,protein_coding,1700017B05Rik
13564,ENSG00000165805,87980035,88034037,12,protein_coding,C12orf50,ENSMUSG00000056912,100426346,100454263,10,protein_coding,1700017N19Rik
7627,ENSG00000260456,87083562,87317420,16,protein_coding,C16orf95,ENSMUSG00000031809,122257519,122271059,8,protein_coding,1700018B08Rik
11417,ENSG00000187699,189879609,190203484,2,protein_coding,C2orf88,ENSMUSG00000043629,52961483,53059338,1,protein_coding,1700019D03Rik
5203,ENSG00000165863,116663696,116670264,10,protein_coding,C10orf82,ENSMUSG00000026931,58774235,58782893,19,protein_coding,1700019N19Rik
8816,ENSG00000270806,35760887,35765079,17,protein_coding,C17orf50,ENSMUSG00000035085,83328503,83332059,11,protein_coding,1700020L24Rik
5498,ENSG00000124237,58150902,58161150,20,protein_coding,C20orf85,ENSMUSG00000027518,173364379,173370294,2,protein_coding,1700021F07Rik
5971,ENSG00000174038,35041095,35045986,9,protein_coding,C9orf131,ENSMUSG00000028451,42969604,42983640,4,protein_coding,1700022I11Rik
14817,ENSG00000178645,49679651,49710261,10,protein_coding,C10orf53,ENSMUSG00000072473,32098025,32110348,14,protein_coding,1700024G13Rik
8101,ENSG00000116667,184387029,184629019,1,protein_coding,C1orf21,ENSMUSG00000032666,151728154,151965876,1,protein_coding,1700025G04Rik
15398,ENSG00000203910,92217915,92245813,1,protein_coding,C1orf146,ENSMUSG00000089798,107682575,107699408,5,protein_coding,1700028K03Rik
8214,ENSG00000204711,69820817,69906227,9,protein_coding,C9orf135,ENSMUSG00000033053,23536117,23630176,19,protein_coding,1700028P14Rik
7435,ENSG00000283199,113953705,113974076,13,protein_coding,C13orf46,ENSMUSG00000031452,13600733,13612461,8,protein_coding,1700029H14Rik
11649,ENSG00000234776,45906513,45907272,11,protein_coding,C11orf94,ENSMUSG00000044916,92212883,92216053,2,protein_coding,1700029I15Rik
14728,ENSG00000205129,185426249,185449826,4,protein_coding,C4orf47,ENSMUSG00000071103,46406643,46428477,8,protein_coding,1700029J07Rik
7655,ENSG00000166455,81053497,81077267,16,protein_coding,C16orf46,ENSMUSG00000031847,117696333,117705698,8,protein_coding,1700030J22Rik
13048,ENSG00000105072,16496394,16521352,19,protein_coding,C19orf44,ENSMUSG00000052794,73197724,73214845,8,protein_coding,1700030K09Rik
10484,ENSG00000214700,27081057,27082578,12,protein_coding,C12orf71,ENSMUSG00000040163,146851827,146855920,6,protein_coding,1700034J05Rik
845,ENSG00000215131,3493484,3495489,16,protein_coding,C16orf90,ENSMUSG00000005983,3713043,3726553,16,protein_coding,1700037C18Rik
5387,ENSG00000101220,3753508,3767781,20,protein_coding,C20orf27,ENSMUSG00000027327,130988244,131002001,2,protein_coding,1700037H04Rik
14898,ENSG00000283288,139471004,139473700,5,protein_coding,SMIM33,ENSMUSG00000073598,35836278,35863922,18,protein_coding,1700066B19Rik
9848,ENSG00000178074,199911293,199955935,2,protein_coding,C2orf69,ENSMUSG00000038323,57416779,57424582,1,protein_coding,1700066M21Rik
11920,ENSG00000188032,14081624,14085875,19,protein_coding,C19orf67,ENSMUSG00000046408,84728131,84731399,8,protein_coding,1700067K01Rik
8206,ENSG00000128346,37943050,37953669,22,protein_coding,C22orf23,ENSMUSG00000033029,79013549,79025453,15,protein_coding,1700088E04Rik
15453,ENSG00000283268,62832319,62832803,11,protein_coding,TEX54,ENSMUSG00000090840,8718082,8718589,19,protein_coding,1700092M07Rik
2183,ENSG00000237651,61145068,61164828,2,protein_coding,C2orf74,ENSMUSG00000020286,23466203,23471155,11,protein_coding,1700093K21Rik
15737,ENSG00000163263,154199085,154206333,1,protein_coding,C1orf189,ENSMUSG00000118506,89970103,89975654,3,protein_coding,1700094D03Rik
8085,ENSG00000188315,49268596,49277232,3,protein_coding,C3orf62,ENSMUSG00000032611,108270004,108288133,9,protein_coding,1700102P08Rik
12062,ENSG00000179088,103237591,103495978,12,protein_coding,C12orf42,ENSMUSG00000047129,86893909,87066451,10,protein_coding,1700113H08Rik
10709,ENSG00000179933,23095505,23100456,14,protein_coding,C14orf119,ENSMUSG00000040822,54923673,54928198,14,protein_coding,1700123O20Rik
1732,ENSG00000141371,60392429,60431426,17,protein_coding,C17orf64,ENSMUSG00000018479,85061230,85071971,11,protein_coding,1700125H20Rik
15202,ENSG00000186665,67991099,67996469,17,protein_coding,C17orf58,ENSMUSG00000078607,106916507,106921269,11,protein_coding,1810010H24Rik
3330,ENSG00000182831,9091644,9121635,16,protein_coding,C16orf72,ENSMUSG00000022507,8647964,8676786,16,protein_coding,1810013L24Rik
15407,ENSG00000114656,128909866,129002690,3,protein_coding,CFAP92,ENSMUSG00000089997,87652572,87699783,6,protein_coding,1810020O05Rik
11501,ENSG00000185753,40626921,40647561,X,protein_coding,CXorf38,ENSMUSG00000044148,12521118,12539907,X,protein_coding,1810030O07Rik
13217,ENSG00000164096,119296419,119304445,4,protein_coding,C4orf3,ENSMUSG00000054091,122717852,122719833,3,protein_coding,1810037I17Rik
9090,ENSG00000150750,111245725,111286401,11,protein_coding,C11orf53,ENSMUSG00000036027,51200986,51240224,9,protein_coding,1810046K07Rik
8909,ENSG00000171067,68261338,68272001,11,protein_coding,C11orf24,ENSMUSG00000035372,3758293,3767881,19,protein_coding,1810055G02Rik
14865,ENSG00000243317,135662496,135693418,7,protein_coding,STMP1,ENSMUSG00000073155,35229589,35240431,6,protein_coding,1810058I24Rik
11032,ENSG00000173237,66975277,66977009,11,protein_coding,C11orf86,ENSMUSG00000042041,4546816,4548611,19,protein_coding,2010003K11Rik
7039,ENSG00000167644,38304164,38305006,19,protein_coding,C19orf33,ENSMUSG00000030587,28945986,28947891,7,protein_coding,2200002D01Rik
2823,ENSG00000165118,83938311,83956986,9,protein_coding,C9orf64,ENSMUSG00000021550,58527631,58533039,13,protein_coding,2210016F16Rik
6598,ENSG00000157895,121000486,121016502,12,protein_coding,C12orf43,ENSMUSG00000029559,115080217,115087842,5,protein_coding,2210016L21Rik
14741,ENSG00000185261,94150851,94618604,5,protein_coding,KIAA0825,ENSMUSG00000071252,77283659,77761903,13,protein_coding,2210408I21Rik
10200,ENSG00000204542,31111223,31112575,6,protein_coding,C6orf15,ENSMUSG00000039269,35878347,35879849,17,protein_coding,2300002M23Rik
7970,ENSG00000189227,67521131,67530146,15,protein_coding,C15orf61,ENSMUSG00000032403,63301729,63306528,9,protein_coding,2300009A05Rik
15280,ENSG00000203724,197902630,197907367,1,protein_coding,C1orf53,ENSMUSG00000079283,138779721,138784590,1,protein_coding,2310009B15Rik
2098,ENSG00000119559,1461143,1479219,19,protein_coding,C19orf25,ENSMUSG00000020133,80154088,80156371,10,protein_coding,2310011J03Rik
12521,ENSG00000160392,40319536,40348527,19,protein_coding,C19orf47,ENSMUSG00000049643,27252658,27281524,7,protein_coding,2310022A10Rik
7734,ENSG00000119280,230837119,230869589,1,protein_coding,C1orf198,ENSMUSG00000031983,125362495,125390108,8,protein_coding,2310022B05Rik
7784,ENSG00000149300,111918032,111926871,11,protein_coding,C11orf52,ENSMUSG00000032062,50650991,50657836,9,protein_coding,2310030G06Rik
2268,ENSG00000143793,228100726,228105411,1,protein_coding,C1orf35,ENSMUSG00000020441,59099147,59101564,11,protein_coding,2310033P09Rik
15608,ENSG00000120055,102449837,102451543,10,protein_coding,C10orf95,ENSMUSG00000099655,46336640,46338741,19,protein_coding,2310034G01Rik
14147,ENSG00000221821,42890265,42890821,6,protein_coding,C6orf226,ENSMUSG00000062619,47083561,47084322,17,protein_coding,2310039H08Rik
15435,ENSG00000198854,152719522,152720470,1,protein_coding,C1orf68,ENSMUSG00000090314,92775666,92777523,3,protein_coding,2310050C09Rik
1437,ENSG00000184530,127519455,127591820,6,protein_coding,C6orf58,ENSMUSG00000015519,28848284,28862299,10,protein_coding,2310057J18Rik
10488,ENSG00000119965,122930901,122954311,10,protein_coding,C10orf88,ENSMUSG00000040177,130939949,130964488,7,protein_coding,2310057M21Rik
12719,ENSG00000204564,30647039,30653210,6,protein_coding,C6orf136,ENSMUSG00000050705,36203569,36208323,17,protein_coding,2310061I04Rik
9331,ENSG00000162642,85249953,85259672,1,protein_coding,C1orf52,ENSMUSG00000036873,145643769,145650584,3,protein_coding,2410004B18Rik
11376,ENSG00000187068,185076838,185153060,3,protein_coding,C3orf70,ENSMUSG00000043391,21467795,21513415,16,protein_coding,2510009E07Rik
11577,ENSG00000116685,11919591,11926428,1,protein_coding,KIAA2013,ENSMUSG00000044496,148025352,148031771,4,protein_coding,2510039O18Rik
12994,ENSG00000214194,113116718,113118560,7,protein_coding,SMIM30,ENSMUSG00000052419,13867734,13871517,6,protein_coding,2610001J05Rik
1095,ENSG00000160298,46300181,46323875,21,protein_coding,C21orf58,ENSMUSG00000009114,76284915,76296944,10,protein_coding,2610028H24Rik
13824,ENSG00000156172,95244913,95269201,8,protein_coding,CFAP418,ENSMUSG00000059482,10874498,10899425,4,protein_coding,2610301B20Rik
1174,ENSG00000007202,28614446,28645454,17,protein_coding,KIAA0100,ENSMUSG00000010277,78152578,78181449,11,protein_coding,2610507B11Rik
15562,ENSG00000188373,84173801,84185294,10,protein_coding,C10orf99,ENSMUSG00000096001,36824097,36835979,14,protein_coding,2610528A11Rik
6017,ENSG00000253313,43281877,43285617,1,protein_coding,C1orf210,ENSMUSG00000028536,118384196,118387425,4,protein_coding,2610528J11Rik
8657,ENSG00000100578,58427385,58551297,14,protein_coding,KIAA0586,ENSMUSG00000034601,71183622,71290077,12,protein_coding,2700049A03Rik
3921,ENSG00000141428,35972625,35979286,18,protein_coding,C18orf21,ENSMUSG00000024273,24603907,24610855,18,protein_coding,2700062C07Rik
7735,ENSG00000143633,231223763,231241187,1,protein_coding,C1orf131,ENSMUSG00000031984,125563684,125589859,8,protein_coding,2810004N23Rik
4820,ENSG00000204128,231037523,231049719,2,protein_coding,C2orf72,ENSMUSG00000026227,85973585,85983178,1,protein_coding,2810459M11Rik
12832,ENSG00000197077,24952716,25197448,22,protein_coding,KIAA1671,ENSMUSG00000051339,113234189,113369102,5,protein_coding,2900026A02Rik
6959,ENSG00000177025,57958437,57974534,19,protein_coding,C19orf18,ENSMUSG00000030385,12246444,12290250,7,protein_coding,2900092C05Rik
4319,ENSG00000169609,82988441,83011641,15,protein_coding,C15orf40,ENSMUSG00000025102,81431930,81439226,7,protein_coding,3110040N11Rik
13148,ENSG00000146540,996986,1138260,7,protein_coding,C7orf50,ENSMUSG00000053553,139345494,139446282,5,protein_coding,3110082I17Rik
14767,ENSG00000177354,49299170,49327492,10,protein_coding,C10orf71,ENSMUSG00000071540,32381076,32407250,14,protein_coding,3425401B19Rik
14162,ENSG00000172244,43486709,43515148,5,protein_coding,C5orf34,ENSMUSG00000062822,119599304,119622656,13,protein_coding,4833420G17Rik
4636,ENSG00000122203,176346062,176361807,5,protein_coding,KIAA1191,ENSMUSG00000025871,54699031,54713248,13,protein_coding,4833439L19Rik
5085,ENSG00000179133,23202696,23344845,10,protein_coding,C10orf67,ENSMUSG00000026734,19467648,19558725,2,protein_coding,4921504E06Rik
6731,ENSG00000153790,25134692,25180356,7,protein_coding,C7orf31,ENSMUSG00000029828,50550282,50573612,6,protein_coding,4921507P07Rik
9359,ENSG00000155330,46796603,46831180,16,protein_coding,C16orf87,ENSMUSG00000036934,86135388,86159462,8,protein_coding,4921524J17Rik
2262,ENSG00000187658,157671533,157680158,5,protein_coding,C5orf52,ENSMUSG00000020434,3836088,3845098,11,protein_coding,4921536K21Rik
6006,ENSG00000203963,67092165,67231853,1,protein_coding,C1orf141,ENSMUSG00000028520,103087642,103148060,4,protein_coding,4921539E11Rik
2153,ENSG00000183397,3539171,3544030,19,protein_coding,C19orf71,ENSMUSG00000020234,81198901,81201650,10,protein_coding,4930404N11Rik
11945,ENSG00000133641,88033846,88050160,12,protein_coding,C12orf29,ENSMUSG00000046567,100408127,100426285,10,protein_coding,4930430F08Rik
14468,ENSG00000274443,73241331,73259530,8,protein_coding,C8orf89,ENSMUSG00000067795,16136203,16163549,1,protein_coding,4930444P10Rik
2621,ENSG00000179008,60396469,60515543,14,protein_coding,C14orf39,ENSMUSG00000021098,72927883,72987548,12,protein_coding,4930447C04Rik
11842,ENSG00000167194,30023198,30027736,16,protein_coding,C16orf92,ENSMUSG00000045989,126429640,126430811,7,protein_coding,4930451I11Rik
13875,ENSG00000179021,88149959,88168729,3,protein_coding,C3orf38,ENSMUSG00000059920,64572114,64591524,16,protein_coding,4930453N24Rik
11647,ENSG00000166845,54357906,54385218,18,protein_coding,C18orf54,ENSMUSG00000044906,70585283,70605580,18,protein_coding,4930503L19Rik
10740,ENSG00000177994,54330034,54383742,2,protein_coding,C2orf73,ENSMUSG00000040919,30376006,30421827,11,protein_coding,4930505A04Rik
13934,ENSG00000204006,51102221,51148086,1,protein_coding,C1orf185,ENSMUSG00000060491,109362534,109388494,4,protein_coding,4930522H14Rik
15439,ENSG00000235750,175156986,175192999,1,protein_coding,KIAA0040,ENSMUSG00000090394,159871952,159907778,1,protein_coding,4930523C07Rik
2188,ENSG00000185056,173973779,174006140,5,protein_coding,C5orf47,ENSMUSG00000020299,31915592,31929651,11,protein_coding,4930524B15Rik
15381,ENSG00000205710,4899418,4902934,17,protein_coding,C17orf107,ENSMUSG00000087279,70506674,70507716,11,protein_coding,4930544D05Rik
728,ENSG00000166323,108308519,108467531,11,protein_coding,C11orf65,ENSMUSG00000005131,53313625,53345702,9,protein_coding,4930550C14Rik
15653,ENSG00000283324,150887136,150913292,1,protein_coding,CTXND2,ENSMUSG00000105734,95293772,95310152,3,protein_coding,4930558C23Rik
15368,ENSG00000180999,172420685,172468831,1,protein_coding,C1orf105,ENSMUSG00000086277,161769655,161807205,1,protein_coding,4930558K02Rik
3338,ENSG00000205832,4556340,4600758,16,protein_coding,C16orf96,ENSMUSG00000022518,4653280,4685550,16,protein_coding,4930562C15Rik
13152,ENSG00000256806,6651762,6693202,17,protein_coding,C17orf100,ENSMUSG00000053574,72105964,72109270,11,protein_coding,4930563E22Rik
3028,ENSG00000171060,10672628,10700590,8,protein_coding,C8orf74,ENSMUSG00000021961,64206788,64225239,14,protein_coding,4930578I06Rik
1238,ENSG00000138813,99511012,99542303,4,protein_coding,C4orf17,ENSMUSG00000012042,137869839,137945424,3,protein_coding,4930579F01Rik
5642,ENSG00000205208,158666675,158672255,4,protein_coding,C4orf46,ENSMUSG00000027811,79536386,79540127,3,protein_coding,4930579G24Rik
8484,ENSG00000131379,14675141,14773036,3,protein_coding,C3orf20,ENSMUSG00000034063,91879790,91927706,6,protein_coding,4930590J08Rik
1270,ENSG00000179213,51246348,51269330,19,protein_coding,SIGLECL1,ENSMUSG00000013353,43141468,43155364,7,protein_coding,4931406B18Rik
7709,ENSG00000182919,93741591,93764749,11,protein_coding,C11orf54,ENSMUSG00000031938,15194633,15217744,9,protein_coding,4931406C07Rik
3143,ENSG00000100802,22985894,23010166,14,protein_coding,C14orf93,ENSMUSG00000022179,54821120,54843450,14,protein_coding,4931414P19Rik
1362,ENSG00000196123,67175599,67184040,16,protein_coding,KIAA0895L,ENSMUSG00000014837,106007041,106016496,8,protein_coding,4931428F04Rik
15284,ENSG00000181626,12093843,12129764,18,protein_coding,ANKRD62,ENSMUSG00000079324,68486830,68578811,2,protein_coding,4932414N04Rik
11593,ENSG00000221843,27537386,27582720,2,protein_coding,C2orf16,ENSMUSG00000044581,82117950,82152416,10,protein_coding,4932415D10Rik
9473,ENSG00000138688,122152331,122364167,4,protein_coding,KIAA1109,ENSMUSG00000037270,36917253,37107182,3,protein_coding,4932438A13Rik
14608,ENSG00000166152,49373804,49399431,16,protein_coding,C16orf78,ENSMUSG00000069971,88290481,88316052,8,protein_coding,4933402J07Rik
1288,ENSG00000183559,122697709,122699846,10,protein_coding,C10orf120,ENSMUSG00000013668,130739442,130748043,7,protein_coding,4933402N03Rik
1266,ENSG00000159761,67666814,67668757,16,protein_coding,C16orf86,ENSMUSG00000013158,106434287,106436878,8,protein_coding,4933405L10Rik
15438,ENSG00000203942,97589721,97590934,10,protein_coding,C10orf62,ENSMUSG00000090369,42040687,42042066,19,protein_coding,4933411K16Rik
15621,ENSG00000228486,97664217,97703066,2,protein_coding,C2orf92,ENSMUSG00000102416,36749230,36797034,1,protein_coding,4933424G06Rik
2468,ENSG00000198920,6578147,6640711,17,protein_coding,KIAA0753,ENSMUSG00000020807,72044755,72098285,11,protein_coding,4933427D14Rik
13679,ENSG00000157653,113410054,113429690,9,protein_coding,C9orf43,ENSMUSG00000058046,62443606,62466230,4,protein_coding,4933430I17Rik
9094,ENSG00000100364,45192244,45240894,22,protein_coding,KIAA0930,ENSMUSG00000036046,84828137,84872752,15,protein_coding,5031439G07Rik
14917,ENSG00000142686,35713877,35718894,1,protein_coding,C1orf216,ENSMUSG00000073755,126503611,126508164,4,protein_coding,5730409E04Rik
13600,ENSG00000108666,32324565,32350023,17,protein_coding,C17orf75,ENSMUSG00000057181,80251318,80268860,11,protein_coding,5730455P16Rik
6338,ENSG00000163138,20696282,20752907,4,protein_coding,PACRGL,ENSMUSG00000029089,48485294,48571636,5,protein_coding,5730480H06Rik
3151,ENSG00000082213,31532287,31555053,5,protein_coding,C5orf22,ENSMUSG00000022195,12808263,12824735,15,protein_coding,6030458C11Rik
4540,ENSG00000187997,78146385,78166297,17,protein_coding,C17orf99,ENSMUSG00000025573,117688486,117698127,11,protein_coding,6030468B19Rik
7636,ENSG00000135709,85027782,85094230,16,protein_coding,KIAA0513,ENSMUSG00000031824,120840891,120892045,8,protein_coding,6430548M08Rik
15023,ENSG00000125975,35523186,35529652,20,protein_coding,C20orf173,ENSMUSG00000074646,155815199,155849897,2,protein_coding,6430550D23Rik
9699,ENSG00000088543,50558025,50571027,3,protein_coding,C3orf18,ENSMUSG00000037977,107217801,107229621,9,protein_coding,6430571L13Rik
8526,ENSG00000282881,46532166,46543969,1,protein_coding,TMEM275,ENSMUSG00000034185,115747862,115756424,4,protein_coding,6430628N08Rik
8104,ENSG00000196476,270863,290778,20,protein_coding,C20orf96,ENSMUSG00000032680,152257507,152286250,2,protein_coding,6820408C15Rik
12126,ENSG00000152242,46173553,46266992,18,protein_coding,C18orf25,ENSMUSG00000047466,77719193,77802186,18,protein_coding,8030462N17Rik
13330,ENSG00000197261,49550666,49561907,6,protein_coding,C6orf141,ENSMUSG00000054951,41186373,41191450,17,protein_coding,9130008F23Rik
631,ENSG00000189367,127438406,127459389,6,protein_coding,KIAA0408,ENSMUSG00000004360,29087602,29106775,10,protein_coding,9330159F19Rik
13878,ENSG00000131591,1081818,1116361,1,protein_coding,C1orf159,ENSMUSG00000059939,156194439,156211722,4,protein_coding,9430015G10Rik
10475,ENSG00000237489,130020025,130110830,10,protein_coding,C10orf143,ENSMUSG00000040139,136977303,137012491,7,protein_coding,9430038I01Rik
2123,ENSG00000090382,69348381,69354234,12,protein_coding,LYZ,ENSMUSG00000020177,117068142,117074608,10,protein_coding,9530003J23Rik
9164,ENSG00000113583,133955510,133968674,5,protein_coding,C5orf15,ENSMUSG00000036275,52287255,52299555,11,protein_coding,9530068E07Rik
9201,ENSG00000164542,36324152,36390125,7,protein_coding,KIAA0895,ENSMUSG00000036411,22322809,22355977,9,protein_coding,9530077C05Rik
11587,ENSG00000241852,22599599,22604150,8,protein_coding,C8orf58,ENSMUSG00000044551,70391854,70396951,14,protein_coding,9930012K11Rik
11869,ENSG00000183354,5881596,6008482,9,protein_coding,KIAA2026,ENSMUSG00000046138,29691802,29783389,19,protein_coding,9930021J03Rik
11622,ENSG00000116922,37681570,37692249,1,protein_coding,C1orf109,ENSMUSG00000044730,124830841,124838449,4,protein_coding,9930104L06Rik
5536,ENSG00000101440,34194569,34269344,20,protein_coding,ASIP,ENSMUSG00000027596,154633322,154892932,2,protein_coding,a
15265,ENSG00000162757,209779208,209784559,1,protein_coding,C1orf74,ENSMUSG00000079144,192850354,192860140,1,protein_coding,A130010J15Rik
13024,ENSG00000148584,50799409,50885675,10,protein_coding,A1CF,ENSMUSG00000052595,31846164,31926395,19,protein_coding,A1cf
6831,ENSG00000175899,9067664,9116229,12,protein_coding,A2M,ENSMUSG00000030111,121612335,121656186,6,protein_coding,A2m
6166,ENSG00000184389,33306766,33321098,1,protein_coding,A3GALT2,ENSMUSG00000028794,128649157,128663091,4,protein_coding,A3galt2
12152,ENSG00000198912,3889125,3900293,1,protein_coding,C1orf174,ENSMUSG00000047613,154041694,154046382,4,protein_coding,A430005L14Rik
12207,ENSG00000128274,42692121,42721298,22,protein_coding,A4GALT,ENSMUSG00000047878,83110923,83135975,15,protein_coding,A4galt
9689,ENSG00000118017,138123713,138132390,3,protein_coding,A4GNT,ENSMUSG00000037953,99494555,99504420,9,protein_coding,A4gnt
11333,ENSG00000184601,104579764,104590515,14,protein_coding,C14orf180,ENSMUSG00000043122,112455882,112466361,12,protein_coding,A530016L24Rik
15353,ENSG00000260802,111511645,111522399,X,protein_coding,SERTM2,ENSMUSG00000085139,142936691,142949270,X,protein_coding,A730046J19Rik
13652,ENSG00000165084,68330955,68819023,8,protein_coding,C8orf34,ENSMUSG00000057715,11484329,12046125,1,protein_coding,A830018L16Rik
4579,ENSG00000161992,560394,565529,16,protein_coding,PRR35,ENSMUSG00000025727,26165361,26171539,17,protein_coding,A930017K11Rik
8103,ENSG00000205177,33698261,33700826,11,protein_coding,C11orf91,ENSMUSG00000032671,103953114,103955094,2,protein_coding,A930018P22Rik
8259,ENSG00000166920,45430579,45448761,15,protein_coding,C15orf48,ENSMUSG00000033213,122478906,122483111,2,protein_coding,AA467197
11184,ENSG00000182795,207018522,207032756,1,protein_coding,C1orf116,ENSMUSG00000042510,130659713,130672359,1,protein_coding,AA986860
9277,ENSG00000094914,53307456,53324864,12,protein_coding,AAAS,ENSMUSG00000036678,102246687,102259206,15,protein_coding,Aaas
6562,ENSG00000081760,125065434,125143333,12,protein_coding,AACS,ENSMUSG00000029482,125552878,125594474,5,protein_coding,Aacs
5614,ENSG00000114771,151814073,151828488,3,protein_coding,AADAC,ENSMUSG00000027761,59933138,59947581,3,protein_coding,Aadac
15475,ENSG00000197953,151733916,151761339,3,protein_coding,AADACL2,ENSMUSG00000091376,59914164,59932841,3,protein_coding,Aadacl2
15190,ENSG00000188984,12716110,12728760,1,protein_coding,AADACL3,ENSMUSG00000078507,144180341,144190326,4,protein_coding,Aadacl3
13605,ENSG00000109576,170060222,170091699,4,protein_coding,AADAT,ENSMUSG00000057228,60958966,60998711,8,protein_coding,Aadat
9468,ENSG00000103591,67200667,67255195,15,protein_coding,AAGAB,ENSMUSG00000037257,63509942,63551870,9,protein_coding,Aagab
